Description,Symbol,Unit,Code
**Plant construction**,,,
Crown-shape parameter,$\eta$,,eta
Leaf mass per area,$\phi$,kg m$^{-2}$,lma
Wood density,$\rho$,kg m$^{-3}$,rho
Sapwood area per unit leaf area,$\theta$,,theta
Height of plant with leaf area of 1m$^2$,$\alpha_{\rm l1}$,m,a_l1
Exponent of relationship between height and leaf area,$\alpha_{\rm l2}$,,a_l2
Root mass per unit leaf area,$\alpha_{\rm r1}$,kg m$^{-2}$,a_r1
Ratio of bark area to sapwood area,$\alpha_{\rm b1}$,,a_b1
**Production**,,,
Leaf photosynthesis per area,$\alpha_{\rm p1}$,mol yr$^{-1}$ m$^{-2}$,a_p1
Saturation of leaf photosynthesis per area,$\alpha_{\rm p2}$,,a_p2
Yield = fraction of carbon fixed converted into mass,$\alpha_{\rm y}$,,a_y
Biomass per mol carbon,$\alpha_{\rm bio}$,kg mol$^{-1}$,a_bio
Leaf respiration per mass,$r_{\rm l}$,mol yr$^{-1}$ kg$^{-1}$,r_l
Fine-root respiration per mass,$r_{\rm r}$,mol yr$^{-1}$ kg$^{-1}$,r_r
Sapwood respiration per mass,$r_{\rm s}$,mol yr$^{-1}$ kg$^{-1}$,r_s
Bark respiration per mass,$r_{\rm b}$,mol yr$^{-1}$ kg$^{-1}$,r_b
Turnover rate for leaves,$k_{\rm l}$,yr$^{-1}$,k_l
Turnover rate for sapwood,$k_{\rm s}$,yr$^{-1}$,k_s
Turnover rate for bark,$k_{\rm b}$,yr$^{-1}$,k_b
Turnover rate for fine roots,$k_{\rm r}$,yr$^{-1}$,k_r
**Fecundity**,,,
Seed mass,$\omega$,kg,omega
Height at maturation,$H_{{\rm mat}}$,m,hmat
Maximum allocation to reproduction,$\alpha_{\rm f1}$,,a_f1
"Parameter determining rate of change in$r(x, m_\textrm{l})$ around$H_{\rm mat}$",$\alpha_{\rm f2}$,,a_f2
Accessory cost per seed,$\alpha_{\rm f3}$,kg,a_f3
**Mortality**,,,
Survival probability during dispersal,$S_{\rm D}$,,S_D
Parameter influencing survival through germination,$\alpha_{\rm d0}$,kg yr$^{-1}$ m$^{-2}$,a_d0
Intrinsic or growth-independent mortality,$d_{\rm I}$,yr$^{-1}$,d_I
Baseline rate for growth-dependent mortality,$\alpha_{\rm dG1}$,yr$^{-1}$,a_dG1
Risk coefficient for dry-mass production per unit leaf area in growth-dependent mortality,$\alpha_{\rm dG2}$,yr m^${2}$ kg$^{-1}$,a_dG2
