Description,Symbol,Unit,Code
**Leaf turnover**,,,
Global average leaf mass per area,$\phi_0$,kg m$^{-2}$,lma_0
"Rate of leaf turnover at average leaf mass per unit leaf area, $\phi_0$",$\beta_{\rm kl1}$,yr$^{-1}$,B_kl1
Scaling exponent for $\phi$ in leaf turnover,$\beta_{\rm kl2}$,,B_kl2
**Sapwood turnover**,,,
Global average wood density,$\rho_0$,kg m$^{-3}$,rho_0
"Rate of sapwood turnover at average wood density, $\rho_0$",$\beta_{\rm ks1}$,yr$^{-1}$,B_ks1
Scaling exponent for $\rho$ in sapwood turnover,$\beta_{\rm ks2}$,,B_ks2
**Growth-independent mortality**,,,
"Rate of instantaneous mortality at average wood density, $\rho_0$",$\beta_{\rm dI1}$,yr$^{-1}$,B_dI1
Scaling exponent for wood density in intrinsic mortality,$\beta_{\rm dI2}$,,B_dI2
**Photosynthesis**,,,
Leaf nitrogen per unit leaf area,$\nu$,kg m$^{-2}$,narea
Global average nitrogen per unit leaf area,$\nu_0$,kg m$^{-2}$,narea_0
"Potential CO$_2$ photosynthesis at average leaf nitrogen, $\nu_0$",$\beta_{\rm lf1}$,mol d$^{-1}$ m$^{-2}$,B_lf1
Curvature of light response curve,$\beta_{\rm lf2}$,,B_lf2
Quantum yield of leaf photosynthesis (CO$_2$ per unit photosynthetically active radiation),$\beta_{\rm lf3}$,,B_lf3
Scaling exponent for leaf nitrogen in maximum leaf photosynthesis,$\beta_{\rm lf5}$,,B_lf5
**Respiration**,,,
CO$_2$ respiration per unit leaf nitrogen,$\beta_{\rm lf4}$,mol yr$^{-1}$ kg$^{-1}$,B_lf4
CO$_2$ respiration per unit sapwood volume,$\beta_{\rm rs1}$,mol yr$^{-1}$ m$^{-3}$,B_rs1
CO$_2$respiration per unit bark volume,$\beta_{\rm rb1}$,mol yr$^{-1}$ m$^{-3}$,B_rb1
**Reproduction**,,,
Cost of seed accessories per unit seed mass,$\beta_{\rm f1}$,,B_f1
